"package","afmfile","fontfile","FullName","FamilyName","FontName","Bold","Italic","Symbol","afmsymfile"
NA,"Garuda-Bold.afm.gz","/usr/share/fonts/truetype/tlwg/Garuda-Bold.ttf","Garuda Bold","Garuda","Garuda-Bold",TRUE,FALSE,FALSE,NA
NA,"Garuda-BoldOblique.afm.gz","/usr/share/fonts/truetype/tlwg/Garuda-BoldOblique.ttf","Garuda Bold Oblique","Garuda","Garuda-BoldOblique",TRUE,TRUE,FALSE,NA
NA,"Garuda-Oblique.afm.gz","/usr/share/fonts/truetype/tlwg/Garuda-Oblique.ttf","Garuda Oblique","Garuda","Garuda-Oblique",FALSE,TRUE,FALSE,NA
NA,"GenR102.afm.gz","/usr/share/fonts/truetype/gentium/GenR102.ttf","Gentium","Gentium","Gentium",FALSE,FALSE,FALSE,NA
NA,"GenI102.afm.gz","/usr/share/fonts/truetype/gentium/GenI102.ttf","Gentium Italic","Gentium","Gentium-Italic",FALSE,TRUE,FALSE,NA
NA,"GenAR102.afm.gz","/usr/share/fonts/truetype/gentium/GenAR102.ttf","GentiumAlt","GentiumAlt","GentiumAlt",FALSE,FALSE,FALSE,NA
NA,"GenAI102.afm.gz","/usr/share/fonts/truetype/gentium/GenAI102.ttf","GentiumAlt Italic","GentiumAlt","GentiumAlt-Italic",FALSE,TRUE,FALSE,NA
NA,"GenBasR.afm.gz","/usr/share/fonts/truetype/gentium-basic/GenBasR.ttf","Gentium Basic","Gentium Basic","GentiumBasic",FALSE,FALSE,FALSE,NA
NA,"GenBasB.afm.gz","/usr/share/fonts/truetype/gentium-basic/GenBasB.ttf","Gentium Basic Bold","Gentium Basic","GentiumBasic-Bold",TRUE,FALSE,FALSE,NA
NA,"GenBasBI.afm.gz","/usr/share/fonts/truetype/gentium-basic/GenBasBI.ttf","Gentium Basic Bold Italic","Gentium Basic","GentiumBasic-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"GenBasI.afm.gz","/usr/share/fonts/truetype/gentium-basic/GenBasI.ttf","Gentium Basic Italic","Gentium Basic","GentiumBasic-Italic",FALSE,TRUE,FALSE,NA
NA,"GenBkBasR.afm.gz","/usr/share/fonts/truetype/gentium-basic/GenBkBasR.ttf","Gentium Book Basic","Gentium Book Basic","GentiumBookBasic",FALSE,FALSE,FALSE,NA
NA,"GenBkBasB.afm.gz","/usr/share/fonts/truetype/gentium-basic/GenBkBasB.ttf","Gentium Book Basic Bold","Gentium Book Basic","GentiumBookBasic-Bold",TRUE,FALSE,FALSE,NA
NA,"GenBkBasBI.afm.gz","/usr/share/fonts/truetype/gentium-basic/GenBkBasBI.ttf","Gentium Book Basic Bold Italic","Gentium Book Basic","GentiumBookBasic-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"GenBkBasI.afm.gz","/usr/share/fonts/truetype/gentium-basic/GenBkBasI.ttf","Gentium Book Basic Italic","Gentium Book Basic","GentiumBookBasic-Italic",FALSE,TRUE,FALSE,NA
NA,"Junicode.afm.gz","/usr/share/fonts/truetype/junicode/Junicode.ttf","Junicode","Junicode","Junicode",FALSE,FALSE,FALSE,NA
NA,"Junicode-Bold.afm.gz","/usr/share/fonts/truetype/junicode/Junicode-Bold.ttf","Junicode Bold","Junicode","Junicode-Bold",TRUE,FALSE,FALSE,NA
NA,"Junicode-BoldItalic.afm.gz","/usr/share/fonts/truetype/junicode/Junicode-BoldItalic.ttf","Junicode Bold Italic","Junicode","Junicode-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"Junicode-Italic.afm.gz","/usr/share/fonts/truetype/junicode/Junicode-Italic.ttf","Junicode Italic","Junicode","Junicode-Italic",FALSE,TRUE,FALSE,NA
NA,"Kedage-b.afm.gz","/usr/share/fonts/truetype/ttf-indic-fonts-core/Kedage-b.ttf","Kedage Bold","Kedage","KedageBold",TRUE,FALSE,FALSE,NA
NA,"Kedage-n.afm.gz","/usr/share/fonts/truetype/ttf-indic-fonts-core/Kedage-n.ttf","Kedage Normal","Kedage","KedageNormal",FALSE,FALSE,FALSE,NA
NA,"KhmerOS.afm.gz","/usr/share/fonts/truetype/ttf-khmeros-core/KhmerOS.ttf","Khmer OS","Khmer OS","KhmerOS",FALSE,FALSE,FALSE,NA
NA,"KhmerOSsys.afm.gz","/usr/share/fonts/truetype/ttf-khmeros-core/KhmerOSsys.ttf","Khmer OS System","Khmer OS System","KhmerOSsys",FALSE,FALSE,FALSE,NA
NA,"Lato-Bla.afm.gz","/usr/share/fonts/truetype/lato/Lato-Bla.ttf","Lato Black","Lato Black","Lato-Black",FALSE,FALSE,FALSE,NA
NA,"Lato-BlaIta.afm.gz","/usr/share/fonts/truetype/lato/Lato-BlaIta.ttf","Lato Black Italic","Lato Black","Lato-BlackItalic",FALSE,TRUE,FALSE,NA
NA,"Lato-Bol.afm.gz","/usr/share/fonts/truetype/lato/Lato-Bol.ttf","Lato Bold","Lato","Lato-Bold",TRUE,FALSE,FALSE,NA
NA,"Lato-BolIta.afm.gz","/usr/share/fonts/truetype/lato/Lato-BolIta.ttf","Lato Bold Italic","Lato","Lato-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"Lato-Hai.afm.gz","/usr/share/fonts/truetype/lato/Lato-Hai.ttf","Lato-Hairline","Lato Hairline","Lato-Hairline",FALSE,FALSE,FALSE,NA
NA,"Lato-HaiIta.afm.gz","/usr/share/fonts/truetype/lato/Lato-HaiIta.ttf","Lato-HairlineItalic","Lato Hairline","Lato-HairlineItalic",FALSE,TRUE,FALSE,NA
NA,"Lato-RegIta.afm.gz","/usr/share/fonts/truetype/lato/Lato-RegIta.ttf","Lato Italic","Lato","Lato-Italic",FALSE,TRUE,FALSE,NA
NA,"Lato-Lig.afm.gz","/usr/share/fonts/truetype/lato/Lato-Lig.ttf","Lato-Light","Lato Light","Lato-Light",FALSE,FALSE,FALSE,NA
NA,"Lato-LigIta.afm.gz","/usr/share/fonts/truetype/lato/Lato-LigIta.ttf","Lato-LightItalic","Lato Light","Lato-LightItalic",FALSE,TRUE,FALSE,NA
NA,"Lato-Reg.afm.gz","/usr/share/fonts/truetype/lato/Lato-Reg.ttf","Lato Regular","Lato","Lato-Regular",FALSE,FALSE,FALSE,NA
NA,"LiberationMono-Regular.afm.gz","/usr/share/fonts/truetype/liberation/LiberationMono-Regular.ttf","Liberation Mono","Liberation Mono","LiberationMono",FALSE,FALSE,FALSE,NA
NA,"LiberationMono-Bold.afm.gz","/usr/share/fonts/truetype/liberation/LiberationMono-Bold.ttf","Liberation Mono Bold","Liberation Mono","LiberationMono-Bold",TRUE,FALSE,FALSE,NA
NA,"LiberationMono-BoldItalic.afm.gz","/usr/share/fonts/truetype/liberation/LiberationMono-BoldItalic.ttf","Liberation Mono Bold Italic","Liberation Mono","LiberationMono-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"LiberationMono-Italic.afm.gz","/usr/share/fonts/truetype/liberation/LiberationMono-Italic.ttf","Liberation Mono Italic","Liberation Mono","LiberationMono-Italic",FALSE,TRUE,FALSE,NA
